Mesh Number: 0
Vertex Count: 2418
Triangle Count: 806
 V469: -1.563243 0.700000 -1.968485 
 V470: 0.700000 -1.968485 -1.563243 
 V471: -1.968485 -1.563243 0.100000 
 V472: -1.563243 0.100000 -1.925703 
 V473: 0.100000 -1.925703 -1.542427 
 V474: -1.925703 -1.542427 0.100000 
 V475: -1.542427 0.100000 -1.968485 
 V476: 0.100000 -1.968485 -1.563243 
 V477: -1.968485 -1.563243 0.700000 
 V478: -1.563243 0.700000 -1.925703 
 V479: 0.700000 -1.925703 -1.542427 
 V480: -1.925703 -1.542427 0.100000 
 V481: -1.542427 0.100000 -1.925703 
 V482: 0.100000 -1.925703 -1.542427 
 V483: -1.925703 -1.542427 0.700000 
 V484: -1.542427 0.700000 -1.925703 
 V485: 0.700000 -1.925703 -1.542427 
 V486: -1.925703 -1.542427 0.700000 
 V487: -1.542427 0.700000 -1.925703 
 V488: 0.700000 -1.925703 -1.542427 
 V489: -1.925703 -1.542427 0.100000 
 V490: -1.542427 0.100000 -1.875568 
 V491: 0.100000 -1.875568 -1.516688 
 V492: -1.875568 -1.516688 0.100000 
 V493: -1.516688 0.100000 -1.925703 
 V494: 0.100000 -1.925703 -1.542427 
 V495: -1.925703 -1.542427 0.700000 
 V496: -1.542427 0.700000 -1.875568 
 V497: 0.700000 -1.875568 -1.516688 
 V498: -1.875568 -1.516688 0.100000 
 V499: -1.516688 0.100000 -1.875568 
 V500: 0.100000 -1.875568 -1.516688 
 V501: -1.875568 -1.516688 0.700000 
 V502: -1.516688 0.700000 -1.875568 
 V503: 0.700000 -1.875568 -1.516688 
 V504: -1.875568 -1.516688 0.700000 
 V505: -1.516688 0.700000 -1.875568 
 V506: 0.700000 -1.875568 -1.516688 
 V507: -1.875568 -1.516688 0.100000 
 V508: -1.516688 0.100000 -1.818542 
 V509: 0.100000 -1.818542 -1.487285 
 V510: -1.818542 -1.487285 0.100000 
 V511: -1.487285 0.100000 -1.875568 
 V512: 0.100000 -1.875568 -1.516688 
 V513: -1.875568 -1.516688 0.700000 
 V514: -1.516688 0.700000 -1.818542 
 V515: 0.700000 -1.818542 -1.487285 
 V516: -1.818542 -1.487285 0.100000 
 V517: -1.487285 0.100000 -1.818542 
 V518: 0.100000 -1.818542 -1.487285 
 V519: -1.818542 -1.487285 0.700000 
 V520: -1.487285 0.700000 -1.818542 
 V521: 0.700000 -1.818542 -1.487285 
 V522: -1.818542 -1.487285 0.700000 
 V523: -1.487285 0.700000 -1.818542 
 V524: 0.700000 -1.818542 -1.487285 
 V525: -1.818542 -1.487285 0.100000 
 V526: -1.487285 0.100000 -1.755323 
 V527: 0.100000 -1.755323 -1.455548 
 V528: -1.755323 -1.455548 0.100000 
 V529: -1.455548 0.100000 -1.818542 
 V530: 0.100000 -1.818542 -1.487285 
 V531: -1.818542 -1.487285 0.700000 
 V532: -1.487285 0.700000 -1.755323 
 V533: 0.700000 -1.755323 -1.455548 
